award_date,grant_number
2016-01-07,3U24CA143858-05S3
2016-01-07,5F30AI114090-02
2016-01-08,1R01CA187219-01A1
2016-01-08,5R01MH100043-03
2016-01-08,1R01DK104942-01A1
2016-01-08,5R01AI116282-02
2016-01-08,5R01DK099055-03
2016-01-08,4U19AI104317-04
2016-01-08,5P01HL114453-03
2016-01-08,5R01HL121134-03
2016-01-08,5R21CA184646-02
2016-01-08,5US4CE002278-04
2016-01-08,5US4CE002289-04
2016-01-08,4R01AI104579-04
2016-01-08,4R01NS037956-17
2016-01-08,1R13HS024476-01
2016-01-08,1K01HL130726-01
2016-01-08,1R01AG049617-01A1
2016-01-08,5P01HL114453-03
2016-01-08,5P01HL114453-03
2016-01-08,5P01HL114453-03
2016-01-08,1R03DK107402-01
2016-01-08,4R01AI097265-05
2016-01-08,5R01AI110508-03
2016-01-08,2R01HL096613-05A1
2016-01-08,5R01AR066094-02
2016-01-08,5K01MH101326-03
2016-01-08,5K23HL114883-03
2016-01-08,5R01CA084442-16
2016-01-08,7R01DK073368-10
2016-01-08,1R21NS095879-01
2016-01-08,4U19AI104317-04
2016-01-08,4R01CA163881-06
2016-01-08,1R43HL129543-01A1
2016-01-08,1R01NS095892-01
2016-01-08,4R01AI042266-19
2016-01-08,5P01HL114453-03
2016-01-08,7R01AR063144-04
2016-01-08,1R35CA197582-01
2016-01-08,5R01AI114668-02
2016-01-08,5R01AI076327-08
2016-01-08,1R01AI118862-01A1
2016-01-08,5K01MH106416-02
2016-01-08,5R01AI112844-02
2016-01-08,4R01DC012791-04
2016-01-08,1K99EB020058-01A1
2016-01-08,5F31DK104533-02
2016-01-08,1R01CA196263-01A1
2016-01-08,4K23AR063770-04
2016-01-08,1R21NS093364-01A1
2016-01-08,4R01CA172845-04
2016-01-08,7R01CA172152-04
2016-01-08,5US4CE002276-04
2016-01-08,5P01HL114453-03
2016-01-08,4R01GM098943-06
2016-01-08,5R01AI115983-02
2016-01-08,1R41AI122594-01
2016-01-08,5R01AI116584-02
2016-01-08,5R01AI114054-02
2016-01-08,3R25TW009343-04S3
2016-01-08,5US4CE002274-04
2016-01-08,5R21OD019915-02
2016-01-08,5R01AI105887-03
2016-01-08,5K08AI116909-02
2016-01-08,4R44AG050301-02
2016-01-08,5R01AI062765-13
2016-01-08,1R03DK107945-01
2016-01-08,4U19AI104317-04
2016-01-08,3R21CA187910-02S1
2016-01-08,2R01NS073899-06
2016-01-08,5US4CE002284-04
2016-01-08,1R03DK107912-01
2016-01-08,4R01AI098637-06
2016-01-08,5R01NS073884-05
2016-01-08,5R37DK017776-41
2016-01-08,4R01GM098394-06
2016-01-08,4R01HL111659-05
2016-01-08,1R01NS096308-01
2016-01-08,5R01AI110720-03
2016-01-08,4R01MH100628-04
2016-01-08,4R01AI064478-10
2016-01-08,1R01CA196631-01A1
2016-01-08,5R01AI016478-37
2016-01-08,5US4CE002286-04
2016-01-08,5R01GM112690-02
2016-01-08,1R01CA195527-01A1
2016-01-08,1F31EB020499-01A1
2016-01-08,1R41DE025789-01
2016-01-08,5R01AI082870-06
2016-01-08,5R01MH105330-02
2016-01-08,5R01AI104733-03
2016-01-08,5P01HL114453-03
2016-01-08,5P01HL114453-03
2016-01-08,7R01DK039308-29
2016-01-08,5F32CA183465-02
2016-01-08,3US4CE002273-04S1
2016-01-08,5R21CA191683-02
2016-01-08,5R44AI118000-02
2016-01-08,1R21NS096363-01
2016-01-08,1R01CA200417-01A1
2016-01-08,5U42OD010918-17
2016-01-08,5R01MH108179-02
2016-01-08,2R25HL108828-06
2016-01-08,5R25GM062232-15
2016-01-08,5R25GM078441-10
2016-01-08,1R01DK107686-01
2016-01-08,4U19AI104317-04
2016-01-08,5P30CA015704-41
2016-01-08,5R01HL125886-02
2016-01-08,7R03AR063326-04
2016-01-08,5R01AI112851-02
2016-01-08,4U19AI104317-04
2016-01-09,5P40OD010938-36
2016-01-09,5R01HL122123-03
2016-01-10,5F30MH105199-02
2016-01-10,1R01HL127087-01A1
2016-01-11,4R24HD041023-15
2016-01-11,5R01AI116039-02
2016-01-11,5P30CA008748-50
2016-01-11,5R01AI076458-07
2016-01-11,4R24HD041023-15
2016-01-11,4R01CA167516-04
2016-01-11,5R01HL118410-03
2016-01-11,5P30CA023108-37
2016-01-11,4R24HD041023-15
2016-01-11,1R43HL131089-01
2016-01-11,5R01MH102230-02
2016-01-11,5P30CA023108-37
2016-01-11,5R00DC013805-03
2016-01-11,1R01DK108357-01
2016-01-11,1R21NS096330-01
2016-01-11,5R01GM077620-10
2016-01-11,4R37AI033493-23
2016-01-11,4R01HL117216-04
2016-01-11,5P30CA023108-37
2016-01-11,4R24HD041023-15
2016-01-11,6R56AI104234-02
2016-01-11,5R01CA182939-03
2016-01-11,4R37GM059413-18
2016-01-11,3U2GGH000114-05S1
2016-01-11,5P30CA008748-50
2016-01-11,1R01AG051658-01
2016-01-11,5P30CA008748-50
2016-01-11,5R01HL068835-10
2016-01-11,1I01CX001205-01A1
2016-01-11,3U01GH000152-05S1
2016-01-11,1I01CX001128-01A2
2016-01-11,5P30CA023108-37
2016-01-11,5P30CA008748-50
2016-01-11,5R01CA137060-08
2016-01-11,4T32CA009695-24
2016-01-11,3R01NS081366-04S1
2016-01-11,5R37AI059714-13
2016-01-11,4R01DK062324-13
2016-01-11,5P30CA008748-50
2016-01-11,5P30CA023108-37
2016-01-11,5R01AI116983-02
2016-01-11,1R01GM114260-01A1
2016-01-11,7R01NR012307-07
2016-01-11,2R01DC009222-07A1
2016-01-11,5R01CA050633-26
2016-01-11,4R01DC008794-10
2016-01-11,5P30CA023108-37
2016-01-11,5R01GM114180-02
2016-01-11,5R01EY024016-03
2016-01-11,5P30CA008748-50
2016-01-11,4R01DC004428-15
2016-01-11,2R01GM069668-13
2016-01-11,1R15GM107801-01A1
2016-01-11,1F31EY026477-01
2016-01-11,5F31CA195967-02
2016-01-11,5R01NS088667-02
2016-01-11,1R01DK107583-01
2016-01-11,1R01DK104995-01A1
2016-01-11,1K08HL123551-01A1
2016-01-11,1R01GM116960-01
2016-01-11,5R01GM114660-02
2016-01-11,4R01HL109605-05
2016-01-11,1R21NS094980-01A1
2016-01-11,1R01HL130231-01
2016-01-11,5R00CA160640-04
2016-01-11,4R01DC012769-04
2016-01-11,5P30CA023108-37
2016-01-11,5P30CA023108-37
2016-01-11,5R01GM114640-02
2016-01-11,5F32AI118303-02
2016-01-11,5R01NR014508-03
2016-01-11,5F31CA183385-03
2016-01-11,3U36OE000002-04S6
2016-01-11,1F31HD087054-01
2016-01-11,5R01NS057690-06
2016-01-11,5R01DC005960-11
2016-01-11,1R01DK104920-01A1
2016-01-11,1R01NS091616-01A1
2016-01-11,2I01CX000176-06
2016-01-11,4R24HD041023-15
2016-01-11,5P30CA008748-50
2016-01-11,5P30CA008748-50
2016-01-11,5P30CA008748-50
2016-01-11,5P30CA008748-50
2016-01-11,5P30CA008748-50
2016-01-11,5P30CA008748-50
2016-01-11,5P30CA008748-50
2016-01-11,5P30CA008748-50
2016-01-11,1R01AI123162-01
2016-01-11,5P30CA008748-50
2016-01-11,4R00HL114869-03
2016-01-11,1R01CA194264-01A1
2016-01-11,5K01DA038654-02
2016-01-11,5R03DC013388-04
2016-01-11,5P30CA008748-50
2016-01-11,5R01CA126792-07
2016-01-11,5K23HL116652-03
2016-01-11,1F32EY025533-01A1
2016-01-11,2R01EY017916-10
2016-01-11,4R01AI104523-05
2016-01-11,5P30CA008748-50
2016-01-11,5P30CA008748-50
2016-01-11,5P30CA023108-37
2016-01-11,4R01GM106420-04
